english,japanese,context
Parameter,パラメータ,関数やメソッドに渡す設定値や引数。
Parsing,パース,プログラムのソースコードやデータを解析し、構造化すること。
Patch,パッチ,プログラムの不具合修正や機能向上のために提供される更新データ。
Permissions,権限,ファイルやシステムに対して、読み書きや実行を許可する範囲。
Plugin,プラグイン,ソフトウェアに特定の機能を追加するための拡張プログラム。
Pointer,ポインタ,メモリ上のアドレス（場所）を保持する変数。
Protocol,プロトコル,通信を行うための手順やルールの約束事。
Proxy,プロキシ,ネットワークでインターネットへの接続を中継するサーバー。
Query,クエリ,データベースに対して情報の抽出や操作を要求する命令。
RAM,ラム,コンピュータが一時的にデータを記憶するためのメモリ。
Recursion,再帰,関数の中で自分自身を呼び出すこと。
Refactoring,リファクタリング,外部の動作を変えずに、プログラムの内部構造を整理すること。
Regular Expression,正規表現,文字列のパターンを表現する形式。
Repository,リポジトリ,ファイルやデータの変更履歴を保存する場所。
Responsive Design,レスポンシブデザイン,画面サイズに応じてレイアウトが自動で調整されるWebデザイン。
Router,ルーター,異なるネットワークを接続し、データを適切な経路へ転送する装置。
Runtime,ランタイム,プログラムを実行している最中の時間、または実行環境。
Scalability,拡張性,システムの規模を柔軟に拡大できる能力。
Schema,スキーマ,データベースの構造やデータの形式を定義したもの。
Script,スクリプト,簡易的なプログラミング言語で書かれた短いプログラム。
Server,サーバー,ネットワーク経由でサービスやデータを提供するコンピュータ。
Software,ソフトウェア,コンピュータを動作させるためのプログラムやデータ。
Source Code,ソースコード,人間が読める形式で書かれたプログラミング言語のテキスト。
SQL,エスキューエル,データベースの操作（検索、更新、削除など）を行うための言語。
SSL/TLS,エスエスエル,インターネット上の通信を暗号化して保護するプロトコル。
Stack,スタック,後入れ先出し（LIFO）形式のデータ構造。
Storage,ストレージ,データを長期的に保存するための装置（HDD, SSDなど）。
String,文字列,テキストデータを扱うためのデータ型。
Syntax,構文,プログラミング言語において守らなければならない文法ルール。
Terminal,ターミナル,コマンドラインでコンピュータを操作するためのソフトウェア。
Token,トークン,認証やデータ解析で使われる、意味のある最小単位や引換券的な情報。
Traffic,トラフィック,ネットワーク上を流れるデータの量。
Transaction,トランザクション,データベースでの一連の処理を1つの単位として扱うこと。
URL,ユーアールエル,インターネット上のリソース（ページやファイル）の場所を示す住所。
User Interface (UI),ユーザーインターフェース,ユーザーとコンピュータが情報をやり取りする接触面。
Validation,バリデーション,入力されたデータが正しい形式かどうかを検証すること。
Variable,変数,データを一時的に入れておくための「箱」のようなもの。
Version Control,バージョン管理,ファイルの変更履歴を記録し、過去の状態に戻したりできるようにすること。
Virtual Machine,仮想マシン,物理的なコンピュータ上で仮想的に動作するコンピュータ。
VPN,ブイピーエヌ,公衆回線を利用して構築される仮想的な専用ネットワーク。
Web Server,ウェブサーバー,ウェブブラウザのリクエストに応じてページの内容を送信するサーバー。
Widget,ウィジェット,画面上に配置される小さなアプリケーションや操作部品。
Wi-Fi,ワイファイ,無線でローカルネットワークに接続するための通信規格。
Workflow,ワークフロー,一連の作業工程や処理の流れ。
XML,エックスエムエル,タグを使ってデータの構造を記述する、拡張可能なマークアップ言語。
Zip,ジップ,複数のファイルを1つにまとめ、容量を小さく圧縮する形式。
